"installid"	"sessionid"	"time"	"lat"	"lng"	"accuracy"
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:13:09"	40.738677	-73.9921394	20.865
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:12:07"	40.7385477	-73.9917721	20.09
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:28:15"	40.7388793	-73.9938381	699.999
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:27:15"	40.7388984	-73.9921606	42
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:26:14"	40.73905	-73.9924221	34
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:25:13"	40.7390776	-73.9926434	29
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:24:11"	40.7389419	-73.9922191	32.236
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:22:44"	40.7388193	-73.9925985	19.899
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:20:44"	40.7388193	-73.9925985	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:36:02"	40.7393324	-73.9953991	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:35:01"	40.7401855	-73.9947618	37.5
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:34:00"	40.7394138	-73.9940677	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:32:54"	40.7388454	-73.9927822	20.67
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:30:18"	40.7386239	-73.9922598	36
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:29:17"	40.7386239	-73.9922598	36
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:40:07"	40.7365234	-73.9970978	21.765
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:39:06"	40.7372244	-73.9968682	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:38:04"	40.7377449	-73.996455	24.579
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:37:03"	40.7386575	-73.9958123	19.827
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:46:12"	40.7326418	-74.0002196	20.088
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:45:11"	40.733349	-73.9997605	25.152
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:44:10"	40.7341203	-73.9992096	23.175
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:43:09"	40.7347371	-73.9986587	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:42:08"	40.7353991	-73.9981537	22.328
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:41:08"	40.7358554	-73.9978323	23.57
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:56:26"	40.7264474	-73.9988551	41.624
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:55:25"	40.7269393	-73.9997605	20.093
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:54:24"	40.7273654	-74.0005869	20.803
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:53:23"	40.7268673	-74.0030659	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:52:21"	40.7284501	-74.0027905	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:51:20"	40.7286818	-74.0027905	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:50:19"	40.7296397	-74.0021937	19.937
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:49:18"	40.7301994	-74.002056	21.445
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:48:17"	40.7312406	-74.0012296	22.047
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:47:16"	40.7322436	-74.0006787	22.731
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:58:29"	40.7250493	-73.9970518	19.924
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 18:57:28"	40.7257713	-73.9977864	19.952
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a38e9cd108e9443b16b4a"	"2016-07-28 15:14:20"	40.7243872	-73.9975569	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a38e9cd108e9443b16b4a"	"2016-07-28 15:16:35"	40.7232184	-73.9991178	21.776
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a38e9cd108e9443b16b4a"	"2016-07-28 15:15:33"	40.7230379	-73.9989341	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a38e9cd108e9443b16b4a"	"2016-07-28 15:17:38"	40.7224721	-73.9993014	22.013
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a38e9cd108e9443b16b4a"	"2016-07-28 15:18:39"	40.7216876	-73.9997605	21.203
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a38e9cd108e9443b16b4a"	"2016-07-28 15:19:40"	40.721238	-74.0004032	20.91
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a38e9cd108e9443b16b4a"	"2016-07-28 15:21:43"	40.7207708	-74.0006175	30
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a38e9cd108e9443b16b4a"	"2016-07-28 15:20:42"	40.7209812	-74.0007705	20.408
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a38e9cd108e9443b16b4a"	"2016-07-28 15:23:45"	40.7207933	-74.000629	30
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a38e9cd108e9443b16b4a"	"2016-07-28 15:22:44"	40.7207902	-74.0006401	30
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a38e9cd108e9443b16b4a"	"2016-07-28 15:26:47"	40.7209812	-74.0007705	21.128
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a38e9cd108e9443b16b4a"	"2016-07-28 15:25:46"	40.7209812	-74.0007705	19.998
